SYMBOL
RELIANCE
HDFCBANK
BHARTIARTL
SBIN
TCS
ICICIBANK
BAJFINANCE
INFY
HINDUNILVR
LT
LICI
MARUTI
M&M
KOTAKBANK
HCLTECH
AXISBANK
SUNPHARMA
ITC
ULTRACEMCO
TITAN
ADANIPORTS
NTPC
ONGC
BAJAJFINSV
BEL
JSWSTEEL
ADANIPOWER
ETERNAL
ADANIENT
HAL
BAJAJ_AUTO
VEDL
POWERGRID
HINDZINC
COALINDIA
DMART
TATASTEEL
IOC
NESTLEIND
WIPRO
ASIANPAINT
HINDALCO
EICHERMOT
SBILIFE
GRASIM
SHRIRAMFIN
INDIGO
TVSMOTOR
TMCV
HYUNDAI
DIVISLAB
JIOFIN
BPCL
DLF
ADANIGREEN
LTIM
TECHM
MUTHOOTFIN
VBL
TATACAP
HDFCLIFE
PIDILITIND
BANKBARODA
ICICIAMC
TRENT
IRFC
CHOLAFIN
BRITANNIA
TMPV
PNB
UNIONBANK
MOTHERSON
TORNTPHARM
PFC
AMBUJACEM
CANBK
BSE
IDEA
ADANIENSOL
GODREJCP
BAJAJHLDNG
ABB
INDUSTOWER
SOLARINDS
JINDALSTEL
ASHOKLEY
HDFCAMC
CUMMINSIND
INDIANB
TATAPOWER
IDBI
POLYCAB
TATACONSUM
HEROMOTOCO
SIEMENS
LODHA
CIPLA
APOLLOHOSP
BOSCHLTD
CGPOWER
GAIL
GROWW
DRREDDY
LGEINDIA
MAXHEALTH
UNITDSPR
GMRAIRPORT
POWERINDIA
LUPIN
INDHOTEL
MARICO
HINDPETRO
MAZDOCK
SHREECEM
ICICIGI
ENRIN
SWIGGY
GVT&D
RECLTD
ICICIPRULI
DABUR
WAAREEENER
BHEL
ZYDUSLIFE
PERSISTENT
ABCAPITAL
SRF
HAVELLS
MANKIND
BHARTIHEXA
JSWENERGY
LENSKART
BHARATFORG
NYKAA
OIL
NHPC
BANKINDIA
NAUKRI
BAJAJHFL
NMDC
NTPCGREEN
PAYTM
AUBANK
SBICARD
LTF
INDUSINDBK
TORNTPOWER
POLICYBZR
UNOMINDA
DIXON
IDFCFIRSTB
FEDERALBNK
ALKEM
MEESHO
FORTIS
GICRE
PRESTIGE
IOB
NATIONALUM
COROMANDEL
YESBANK
SAIL
AUROPHARMA
RVNL
JSL
SUZLON
LLOYDSME
MRF
PHOENIXLTD
APLAPOLLO
UPL
OFSS
BIOCON
NAM_INDIA
MCX
HDBFS
MFSL
ATGL
SUNDARMFIN
SCHAEFFLER
COLPAL
VMM
HINDCOPPER
OBEROIRLTY
ABBOTINDIA
GLENMARK
PATANJALI
KRT.RR
GODREJPROP
PIRAMALFIN
LINDEINDIA
LAURUSLABS
JSWINFRA
BERGEPAINT
M&MFIN
FACT
BALKRISIND
COFORGE
MAHABANK
IRCTC
VOLTAS
PIIND
MPHASIS
SUPREMEIND
MOTILALOFS
TATACOMM
ALTIUSINVIT
TIINDIA
BDL
360ONE
GLAXO
PETRONET
JKCEMENT
KALYANKJIL
KEI
EMBASSY.RR
UBL
ASTRAL
AIIL
3MINDIA
DALBHARAT
LTTS
ESCORTS
BLUESTARCO
COCHINSHIP
POONAWALLA
ITCHOTELS
CONCOR
ANTHEM
HUDCO
PGHH
APARINDS
FLUOROCHEM
PAGEIND
NH
RADICO
AIAENG
ENDURANCE
IPCALAB
UCOBANK
AJANTPHARM
JUBLFOOD
NLCINDIA
IREDA
PREMIERENE
HEXT
THERMAX
CRISIL
GODREJIND
CENTRALBK
MRPL
SONACOMS
TATAINVEST
CHOLAHLDNG
GODFRYPHLP
NAVINFLUOR
FORCEMOT
TATAELXSI
MINDSPACE.RR
APOLLOTYRE
DELHIVERY
ACC
TVSHLTD
ASTERDM
KPRMILL
KARURVYSYA
MEDANTA
GLAND
PWL
JBCHEPHARM
SJVN
ZFCVINDIA
GODIGIT
GUJGASLTD
CDSL
IKS
EXIDEIND
LICHSGFIN
MSUMI
HONAUT
METROBRAND
GRSE
GILLETTE
EMCURE
STARHEALTH
ITI
KAYNES
PTCIL
NBCC
BIRET.RR
ATHERENERG
KIMS
AWL
RAMCOCEM
BANDHANBNK
AMBER
IRB
KPITTECH
NIACL
MANAPPURAM
TATATECH
ANGELONE
SHYAMMETL
AEGISLOG
ANANDRATHI
ASAHIINDIA
ABSLAMC
IGL
NXST.RR
AEGISVOPAK
LALPATHLAB
SUNTV
NUVAMA
TIMKEN
PINELABS
PFIZER
SAGILITY
AFFLE
TENNIND
HSCL
DEEPAKNTR
WOCKPHARMA
ASTRAZEN
IIFL
PNBHOUSING
KIOCL
WELCORP
EMAMILTD
PPLPHARMA
CUB
HBLENGINE
BAYERCROP
SUMICHEM
EIHOTEL
REDINGTON
PFOCUS
HATSUN
CESC
AADHARHFC
CREDITACC
ANANTRAJ
SAILIFE
ERIS
FSL
SUNDRMFAST
ATUL
PSB
BRIGADE
JYOTICNC
NSDL
JSWHL
KPIL
CRAFTSMAN
GESHIP
KIRLOSENG
CHALET
INOXWIND
RBLBANK
SCHNEIDER
GMDCLTD
CHAMBLFERT
CPPLUS
CAMS
CASTROLIND
GRINDWELL
SYNGENE
ECLERX
TATACHEM
URBANCO
VENTIVE
NETWEB
DCMSHRIRAM
GSPL
SARDAEN
KFINTECH
PGEL
CENTURYPLY
GPIL
CIEINDIA
SYRMA
CROMPTON
BHARATCOAL
CGCL
BELRISE
AARTIIND
NEULANDLAB
LMW
IFCI
BIKAJI
TBOTEK
CHOICEIN
BASF
ARE&M
DEVYANI
KANSAINER
ACUTAAS
JKTYRE
SOBHA
KEC
CEATLTD
EIDPARRY
AVANTIFEED
RRKABEL
VINATIORGA
JSWCEMENT
ABREL
NAVA
CARBORUNIV
MAHSCOOTER
DATAPATTNS
TRAVELFOOD
APLLTD
ELGIEQUIP
ANURAS
TRITURBINE
NATCOPHARM
KAJARIACER
THELEELA
JUBLPHARMA
DOMS
VGUARD
GABRIEL
BEML
IRCON
LTFOODS
AGARWALEYE
JBMA
FIRSTCRY
ABDL
NIVABUPA
IGIL
EMMVEE
MINDACORP
FINEORG
UTIAMC
CANHLIFE
INDIACEM
SHRIPISTON
POLYMED
ABLBL
GRANULES
GALLANTT
ZENSARTECH
RRP
RATNAMANI
OLAELEC
ACMESOLAR
BLUEDART
VTL
SIGNATURE
CHENNPETRO
TRIDENT
ONESOURCE
AKZOINDIA
SANSERA
TDPOWERSYS
COHANCE
JAINREC
CCL
TEGA
INDIAMART
WELSPUNLIV
DEEPAKFERT
SWANCORP
CAPLIPOINT
JMFINANCIL
ZYDUSWELL
JWL
GRAPHITE
KIRLOSBROS
CONCORDBIO
AETHER
BSOFT
TECHNOE
BBTC
APTUS
RUBICON
USHAMART
PARADEEP
FIVESTAR
NUVOCO
KSB
AFCONS
JINDALSAW
ELITECON
PCBL
FINCABLES
GRAVITA
SCI
RAINBOW
SAMMAANCAP
NSLNISP
HOMEFIRST
UJJIVANSFB
SPLPETRO
ZENTEC
CANFINHOME
MANYAVAR
EDELWEISS
LUMAXTECH
CYIENT
BLS
MGL
CUPID
BATAINDIA
WHIRLPOOL
J&KBANK
RPOWER
THANGAMAYL
ALIVUS
PRUDENT
INDGN
GODREJAGRO
IEX
INGERRAND
CELLO
FINPIPE
BLACKBUCK
HAPPYFORGE
HFCL
MTARTECH
CEMPRO
RAILTEL
PVRINOX
RITES
ACE
PRIVISCL
TITAGARH
JUBLINGREA
SBFC
MEDPLUS
LEMONTREE
SOUTHBANK
TMB
INOXINDIA
AZAD
JPPOWER
VIJAYA
RKFORGE
VESUVIUS
INTELLECT
SANDUMA
AAVAS
ENGINERSIN
METROPOLIS
EUREKAFORB
SHARDACROP
NAZARA
SHAILY
HEG
ELECON
CARTRADE
IIFLCAPS
TIMETECHNO
MMTC
BBOX
BANCOINDIA
CORONA
NCC
GRWRHITECH
AEQUS
SANOFICONR
SWANDEF
SAFARI
WAAREERTL
HONASA
RHIM
IXIGO
GRINFRA
TI
VIYASH
ARVIND
SANOFI
BALRAMCHIN
JYOTHYLAB
JKLAKSHMI
RELAXO
PGHL
JSLL
ZEEL
TTML
ASKAUTOLTD
STARCEMENT
AMAGI
EMBDL
SONATSOFTW
VARROC
SKFINDIA
GENUSPOWER
MANORAMA
ESABINDIA
OLECTRA
ABFRL
HCG
GPPL
TARIL
PGINVIT
VIKRAMSOLR
TRIVENI
NESCO
ASTRAMICRO
APOLLO
KRBL
MARKSANS
WESTLIFE
KAMAHOLD
CAMPUS
LATENTVIEW
BIRLACORPN
RELIGARE
JLHL
KPIGREEN
CLEAN
VOLTAMP
TCI
INDIASHLTR
WABAG
LLOYDSENGG
MAHLIFE
STAR
ALKYLAMINE
TTKPRESTIG
IRBINVIT
SHAKTIPUMP
ALOKINDS
WEWORK
IMFA
EQUITASBNK
KTKBANK
JAYNECOIND
ORKLAINDIA
BLUEJET
PNGJL
SUDARSCHEM
NEWGEN
PRICOLLTD
KIRLPNU
GMRP&UI
PCJEWELLER
RCF
TRANSRAILL
SUDEEPPHRM
ELANTAS
KIRLFER
DODLA
AKUMS
DBL
TIPSMUSIC
PARKHOSPS
ACI
MAHSEAMLES
GSFC
BENGALASM
SAPPHIRE
LOTUSDEV
V2RETAIL
CSBBANK
EPL
REDTAPE
SAREGAMA
DIACABS
WAKEFIT
PGIL
AVALON
BORORENEW
GNFC
WELENT
STLTECH
RATEGAIN
MAPMYINDIA
DBREALTY
MAXESTATES
MIDHANI
POWERMECH
SHADOWFAX
SHADOWFAX
ATLANTAELE
KALPATARU
GARFIBRES
JAIBALAJI
GALAXYSURF
AARTIPHARM
ETHOSLTD
BLUESTONE
CERA
BECTORFOOD
AVL
ISGEC
FIEMIND
CCAVENUE
INOXGREEN
SFL
YATHARTH
UTLSOLAR
TANLA
INDIAGLYCO
SYMPHONY
SHILPAMED
SHREEJISPG
RUSTOMJEE
DYNAMATECH
THYROCARE
MOIL
ARVINDFASN
SMLMAH
MHRIL
LGBBROSLTD
GREENLAM
FDC
LUMAXIND
JKPAPER
DCBBANK
HNDFDS
PRSMJOHNSN
GAEL
PICCADIL
SUNTECK
KINGFA
PRAJIND
RAYMONDLSL
NETWORK18
AHLUCONT
PURVA
TEJASNET
MASFIN
SENCO
ASHAPURMIN
HAPPSTMNDS
GANESHHOU
QPOWER
SJS
KOVAI
JUSTDIAL
AJAXENGG
GULFOILLUB
ICIL
MASTEK
NEPHROPLUS
SUPRAJIT
JUNIPER
BALUFORGE
ICRA
IONEXCHANG
PNCINFRA
SUPRIYA
MIDWEST
PTC
RAJESHEXPO
VIPIND
AXISCADES
ENERGYINF
SUBROS
AURIONPRO
FEDFINA
GOKEX
MIDWESTLTD
SHARDAMOTR
RTNINDIA
JAMNAAUTO
TVSSCS
SMARTWORKS
THOMASCOOK
RENUKA
RAIN
TIIL
CMSINFO
PARAS
VRLLOG
HMT
E2E
CRAMC
RALLIS
NIITMTS
DHANUKA
SAATVIKGL
HCC
SKYGOLD
CEIGALL
SGMART
PILANIINVS
VMART
SURYAROSNI
BAJAJCON
UNIMECH
RESPONIND
GOKULAGRO
VSTTILLERS
ENTERO
CHEMPLASTS
AQYLON
